file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\util\WordConfTools.java,org.apdplat.word.util.WordConfTools,class,2,30,28,2,35,1,0,38,0,0.30769232,0.0,0.0,13,13,10,3,0,0,11,0,0,0,2,2,0,2,0,0,2,0,13,126,7,3,8,2,2,34,10,21,18,21,3,0,0,1,47,1,16
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\test\java\org\apdplat\word\segmentation\impl\ReverseMaximumMatchingTest.java,org.apdplat.word.segmentation.impl.ReverseMaximumMatchingTest,class,4,4,0,4,3,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,0,2,0,0,0,76,1,5,0,5,2,0,0,0,18,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\util\AutoDetector.java,org.apdplat.word.util.AutoDetector$Anonymous1,anonymous,5,5,0,5,4,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,29,0,1,0,2,0,13,2,6,3,6,3,0,0,0,22,-1,5
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\dictionary\Dictionary.java,org.apdplat.word.dictionary.Dictionary,interface,0,16,16,0,8,1,0,0,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\dictionary\impl\DictionaryTrie.java,org.apdplat.word.dictionary.impl.DictionaryTrie$TrieNode,innerclass,1,1,0,1,19,1,0,7,48,0.76923084,0.0,0.0,13,0,12,1,0,0,12,0,0,0,4,0,0,4,0,0,0,0,3,76,10,1,2,0,0,0,8,19,4,10,2,0,0,0,42,10,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\tagging\PinyinTagging.java,org.apdplat.word.tagging.PinyinTagging,class,7,9,2,7,11,1,0,24,13,0.6666667,0.0,0.0,6,5,2,4,0,0,2,0,0,0,1,1,0,1,0,0,1,0,7,52,4,2,0,1,0,3,3,7,0,7,4,0,0,0,35,1,1
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\util\AutoDetector.java,org.apdplat.word.util.AutoDetector$Anonymous6,anonymous,0,0,0,0,5,1,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,4,0,0,3,0,1,0,0,0,6,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\analysis\TextSimilarity.java,org.apdplat.word.analysis.TextSimilarity,class,9,23,14,9,32,1,9,42,14,0.7037037,0.0,0.0,9,0,3,3,3,0,6,1,0,0,3,1,0,1,2,0,1,0,4,118,13,0,11,0,1,19,10,16,13,21,2,0,0,7,51,1025,15
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\test\java\org\apdplat\word\dictionary\impl\DictionaryTrieTest.java,org.apdplat.word.dictionary.impl.DictionaryTrieTest,class,4,4,0,4,8,1,0,17,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2,109,0,2,0,1,0,34,6,50,2,14,5,0,0,1,35,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\util\AutoDetector.java,org.apdplat.word.util.AutoDetector$Anonymous4,anonymous,3,3,0,3,3,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,19,1,0,0,0,0,3,1,5,2,4,2,0,0,0,14,-1,2
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\segmentation\impl\MaxNgramScore.java,org.apdplat.word.segmentation.impl.MaxNgramScore,class,8,9,1,8,38,2,0,37,21,0.0,0.0,0.0,7,1,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,197,5,18,3,0,1,19,34,49,13,37,4,0,1,1,64,1,5
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\util\AutoDetector.java,org.apdplat.word.util.AutoDetector$Anonymous5,anonymous,0,0,0,0,5,1,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,4,0,0,3,0,1,0,0,0,6,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\analysis\EditDistanceTextSimilarity.java,org.apdplat.word.analysis.EditDistanceTextSimilarity,class,4,8,4,4,11,2,0,14,3,0.0,0.0,0.0,3,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,63,3,2,3,0,1,22,14,25,19,22,4,0,0,2,35,1,5
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\util\AutoDetector.java,org.apdplat.word.util.AutoDetector$Anonymous2,anonymous,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\util\AutoDetector.java,org.apdplat.word.util.AutoDetector$Anonymous3,anonymous,3,3,0,3,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,16,0,0,0,0,0,3,1,5,2,4,2,0,0,0,14,-1,2
